Year,Energy_Consumption,Industry,State
1973,9.8,Agriculture,New South Wales
1974,9.3,Agriculture,New South Wales
1975,9.3,Agriculture,New South Wales
1976,9.5,Agriculture,New South Wales
1977,10.2,Agriculture,New South Wales
1978,10.2,Agriculture,New South Wales
1979,11.1,Agriculture,New South Wales
1980,10.4,Agriculture,New South Wales
1981,12.5,Agriculture,New South Wales
1982,8.3,Agriculture,New South Wales
1983,10.9,Agriculture,New South Wales
1984,10.4,Agriculture,New South Wales
1985,10.6,Agriculture,New South Wales
1986,10.1,Agriculture,New South Wales
1987,9.5,Agriculture,New South Wales
1988,10.6,Agriculture,New South Wales
1989,9.9,Agriculture,New South Wales
1990,10.8,Agriculture,New South Wales
1991,11.3,Agriculture,New South Wales
1992,11.7,Agriculture,New South Wales
1993,11.9,Agriculture,New South Wales
1994,12.4,Agriculture,New South Wales
1995,12.8,Agriculture,New South Wales
1996,13.2,Agriculture,New South Wales
1997,14,Agriculture,New South Wales
1998,13.9,Agriculture,New South Wales
1999,14.2,Agriculture,New South Wales
2000,29,Agriculture,New South Wales
2001,29.6,Agriculture,New South Wales
2002,30.7,Agriculture,New South Wales
2003,29.8,Agriculture,New South Wales
2004,29.4,Agriculture,New South Wales
2005,29.6,Agriculture,New South Wales
2006,29.2,Agriculture,New South Wales
2007,28.9,Agriculture,New South Wales
2008,28.4,Agriculture,New South Wales
2009,28.6,Agriculture,New South Wales
2010,28.8,Agriculture,New South Wales
2011,29.4,Agriculture,New South Wales
2012,29.2,Agriculture,New South Wales
2013,27.8,Agriculture,New South Wales
2014,30.1,Agriculture,New South Wales
2015,33.5,Agriculture,New South Wales
1973,8.5,Agriculture,Victoria
1974,8.8,Agriculture,Victoria
1975,8.7,Agriculture,Victoria
1976,8.9,Agriculture,Victoria
1977,9,Agriculture,Victoria
1978,9.7,Agriculture,Victoria
1979,9.7,Agriculture,Victoria
1980,10.3,Agriculture,Victoria
1981,10.1,Agriculture,Victoria
1982,10,Agriculture,Victoria
1983,11,Agriculture,Victoria
1984,10.8,Agriculture,Victoria
1985,10.5,Agriculture,Victoria
1986,10.2,Agriculture,Victoria
1987,9.9,Agriculture,Victoria
1988,10.8,Agriculture,Victoria
1989,10.4,Agriculture,Victoria
1990,10.6,Agriculture,Victoria
1991,10.5,Agriculture,Victoria
1992,10.7,Agriculture,Victoria
1993,10.9,Agriculture,Victoria
1994,11.3,Agriculture,Victoria
1995,10.8,Agriculture,Victoria
1996,11.6,Agriculture,Victoria
1997,12,Agriculture,Victoria
1998,12.6,Agriculture,Victoria
1999,12.7,Agriculture,Victoria
2000,16.9,Agriculture,Victoria
2001,17,Agriculture,Victoria
2002,18.8,Agriculture,Victoria
2003,19.3,Agriculture,Victoria
2004,20,Agriculture,Victoria
2005,17.6,Agriculture,Victoria
2006,15.4,Agriculture,Victoria
2007,15.7,Agriculture,Victoria
2008,14.2,Agriculture,Victoria
2009,15.6,Agriculture,Victoria
2010,15.6,Agriculture,Victoria
2011,15.7,Agriculture,Victoria
2012,15.4,Agriculture,Victoria
2013,16.9,Agriculture,Victoria
2014,16.8,Agriculture,Victoria
2015,15.5,Agriculture,Victoria
1973,10.3,Agriculture,Queensland
1974,11.3,Agriculture,Queensland
1975,11.5,Agriculture,Queensland
1976,12,Agriculture,Queensland
1977,12.2,Agriculture,Queensland
1978,12.5,Agriculture,Queensland
1979,12.7,Agriculture,Queensland
1980,13.6,Agriculture,Queensland
1981,15.9,Agriculture,Queensland
1982,16.2,Agriculture,Queensland
1983,17.2,Agriculture,Queensland
1984,17.4,Agriculture,Queensland
1985,17.4,Agriculture,Queensland
1986,17.9,Agriculture,Queensland
1987,17.8,Agriculture,Queensland
1988,18.1,Agriculture,Queensland
1989,16.7,Agriculture,Queensland
1990,16.9,Agriculture,Queensland
1991,17.3,Agriculture,Queensland
1992,18.1,Agriculture,Queensland
1993,18.5,Agriculture,Queensland
1994,19,Agriculture,Queensland
1995,19.3,Agriculture,Queensland
1996,19.9,Agriculture,Queensland
1997,20.6,Agriculture,Queensland
1998,21.5,Agriculture,Queensland
1999,22.8,Agriculture,Queensland
2000,15.4,Agriculture,Queensland
2001,15.8,Agriculture,Queensland
2002,19.1,Agriculture,Queensland
2003,19.3,Agriculture,Queensland
2004,20.9,Agriculture,Queensland
2005,22.1,Agriculture,Queensland
2006,22.2,Agriculture,Queensland
2007,22.2,Agriculture,Queensland
2008,22.5,Agriculture,Queensland
2009,22.6,Agriculture,Queensland
2010,22.9,Agriculture,Queensland
2011,23.3,Agriculture,Queensland
2012,24.8,Agriculture,Queensland
2013,25,Agriculture,Queensland
2014,25.2,Agriculture,Queensland
2015,28.3,Agriculture,Queensland
1973,4.8,Agriculture,Western Australia
1974,4.6,Agriculture,Western Australia
1975,4.8,Agriculture,Western Australia
1976,4.9,Agriculture,Western Australia
1977,5.8,Agriculture,Western Australia
1978,5.9,Agriculture,Western Australia
1979,6.5,Agriculture,Western Australia
1980,7.3,Agriculture,Western Australia
1981,7.4,Agriculture,Western Australia
1982,7.9,Agriculture,Western Australia
1983,8.8,Agriculture,Western Australia
1984,8.7,Agriculture,Western Australia
1985,8,Agriculture,Western Australia
1986,9.4,Agriculture,Western Australia
1987,9.6,Agriculture,Western Australia
1988,10.1,Agriculture,Western Australia
1989,9.4,Agriculture,Western Australia
1990,8.8,Agriculture,Western Australia
1991,9.3,Agriculture,Western Australia
1992,9.9,Agriculture,Western Australia
1993,10.5,Agriculture,Western Australia
1994,11.2,Agriculture,Western Australia
1995,11.5,Agriculture,Western Australia
1996,11.7,Agriculture,Western Australia
1997,11.2,Agriculture,Western Australia
1998,11.1,Agriculture,Western Australia
1999,11.3,Agriculture,Western Australia
2000,12.9,Agriculture,Western Australia
2001,13.2,Agriculture,Western Australia
2002,15.2,Agriculture,Western Australia
2003,16,Agriculture,Western Australia
2004,17.2,Agriculture,Western Australia
2005,13.7,Agriculture,Western Australia
2006,13.4,Agriculture,Western Australia
2007,13.8,Agriculture,Western Australia
2008,15.6,Agriculture,Western Australia
2009,16.8,Agriculture,Western Australia
2010,17.6,Agriculture,Western Australia
2011,18.4,Agriculture,Western Australia
2012,18.1,Agriculture,Western Australia
2013,17.9,Agriculture,Western Australia
2014,19.7,Agriculture,Western Australia
2015,20.7,Agriculture,Western Australia
1973,4.3,Agriculture,South Australia
1974,4.1,Agriculture,South Australia
1975,4.2,Agriculture,South Australia
1976,4.4,Agriculture,South Australia
1977,4.4,Agriculture,South Australia
1978,4.7,Agriculture,South Australia
1979,5,Agriculture,South Australia
1980,5,Agriculture,South Australia
1981,5.4,Agriculture,South Australia
1982,5.1,Agriculture,South Australia
1983,5.4,Agriculture,South Australia
1984,5.3,Agriculture,South Australia
1985,5.4,Agriculture,South Australia
1986,6.3,Agriculture,South Australia
1987,5.9,Agriculture,South Australia
1988,6.2,Agriculture,South Australia
1989,5.7,Agriculture,South Australia
1990,5.8,Agriculture,South Australia
1991,5.8,Agriculture,South Australia
1992,5.9,Agriculture,South Australia
1993,6,Agriculture,South Australia
1994,5.7,Agriculture,South Australia
1995,5.5,Agriculture,South Australia
1996,6.2,Agriculture,South Australia
