name,class,primary_fuel_type,generation_MW,generator_number,suburb,state,longitude,latitude,generation_type
Repulse,Renewable,Water,28,1,Ouse,Tasmania,146.64696,-42.507695,Hydroelectric (Gravity)
Gordon,Renewable,Water,432,3,Southwest,Tasmania,145.9828322,-42.74051814,Hydroelectric (Gravity)
John Butters,Renewable,Water,144,1,Queenstown,Tasmania,145.5344768,-42.15483458,Hydroelectric (Gravity)
Tribute,Renewable,Water,82.8,1,West Coast,Tasmania,145.6538199,-41.81287029,Hydroelectric (Gravity)
Bastyan,Renewable,Water,79.9,1,Tullah,Tasmania,145.532112,-41.735983,Hydroelectric (Gravity)
Reece,Renewable,Water,238,2,West Coast,Tasmania,145.1359484,-41.72376958,Hydroelectric (Gravity)
Mackintosh,Renewable,Water,79.9,1,Tullah,Tasmania,145.6461186,-41.69974974,Hydroelectric (Gravity)
Cethana,Renewable,Water,85,1,Cethana,Tasmania,146.1342527,-41.48057641,Hydroelectric (Gravity)
Wilmot,Renewable,Water,81.6,1,Cethana,Tasmania,146.125073,-41.483312,Hydroelectric (Gravity)
Devils Gate,Renewable,Water,60,1,Barrington,Tasmania,146.263167,-41.350467,Hydroelectric (Gravity)
Paloona,Renewable,Water,28,1,Barrington,Tasmania,146.2489641,-41.28261605,Hydroelectric (Gravity)
Bell Bay (Bell Bay Three),Non Renewable,Natural Gas,115,3,Bell Bay,Tasmania,146.9029975,-41.14289636,Open Cycle Gas Turbine
Trevallyn,Renewable,Water,80,4,Trevallyn,Tasmania,147.1118721,-41.42263297,Hydroelectric (Gravity)
Poatina,Renewable,Water,100,6,Poatina,Tasmania,146.9190376,-41.81157271,Hydroelectric (Gravity)
Lake Echo,Renewable,Water,32.4,1,Dee,Tasmania,146.6206993,-42.25370224,Hydroelectric (Gravity)
Codrington Wind Farm,Renewable,Wind,18.2,14,Codrington,Victoria,141.9547287,-38.28351623,Wind Turbine
Yambuk Wind Farm,Renewable,Wind,30,20,Yambuk,Victoria,142.0151309,-38.30793848,Wind Turbine
Macarthur Wind Farm,Renewable,Wind,420,140,MacArthur,Victoria,142.1865101,-38.00752684,Wind Turbine
Mortlake,Non Renewable,Natural Gas,566,2,Mortlake,Victoria,142.6674789,-38.06316932,Open Cycle Gas Turbine
Mt Mercer Wind Farm,Renewable,Wind,131,,Mount Mercer,Victoria,143.8757632,-37.84316966,Wind Turbine
Waubra Wind Farm,Renewable,Wind,192,128,Waubra,Victoria,143.6037302,-37.35746218,Wind Turbine
Challicum Hills Wind Farm,Renewable,Wind,52.5,35,Buangor,Victoria,143.1123055,-37.38927506,Wind Turbine
Shepparton Biogas Generation Plant,Renewable,Biogas,1.1,,Shepparton North,Victoria,145.3789833,-36.32177516,Spark Ignition Reciprocating Engine
Dartmouth (Mount Beauty Hydro Scheme),Renewable,Water,150,1,Dartmouth,Victoria,147.5205799,-36.55642936,Hydroelectric (Gravity)
Banimboola,Renewable,Water,12.85,2,Dartmouth,Victoria,147.4593781,-36.53439682,Hydroelectric (Gravity)
Lake William Hovell,Renewable,Water,2,1,Cheshunt South,Victoria,146.392106,-36.91293685,Hydroelectric (Gravity)
Eildon,Renewable,Water,120,4,Eildon,Victoria,145.9214524,-37.22200533,Hydroelectric (Gravity)
Laverton North,Non Renewable,Natural Gas,312,2,Laverton North,Victoria,144.788711,-37.84158,Open Cycle Gas Turbine
Newport,Non Renewable,Natural Gas,500,1,Newport,Victoria,144.894197,-37.841462,Steam Subcritical
Claytons,Renewable,Biogas,11,11,Clayton South,Victoria,145.118722,-37.9502,Spark Ignition Reciprocating Engine
Springvale,Renewable,Biogas,4.2,6,South,Victoria,145.139635,-37.973297,Spark Ignition Reciprocating Engine
Hallam Road,Renewable,Biogas,8.984,2,Hampton Park,Victoria,145.2699497,-38.05345276,Spark Ignition Reciprocating Engine
Yallourn,Non Renewable,Coal,1480,4,Yallourn,Victoria,146.342783,-38.177015,Steam Subcritical
Jeeralang B,Non Renewable,Natural Gas,228,3,Hazelwood North,Victoria,146.424923,-38.274626,Open Cycle Gas Turbine
Jeeralang A,Non Renewable,Natural Gas,204,4,Hazelwood North,Victoria,146.426296,-38.275325,Open Cycle Gas Turbine
Loy Yang A,Non Renewable,Coal,2180,4,Loy Yang,Victoria,146.574569,-38.2536,Steam Subcritical
Loy Yang B,Non Renewable,Coal,1000,2,Loy Yang,Victoria,146.58637,-38.256447,Steam Subcritical
Valley (Peaking Facility),Non Renewable,Natural Gas,300,6,Loy Yang,Victoria,146.589166,-38.253622,Open Cycle Gas Turbine
Bairnsdale,Non Renewable,Natural Gas,94,2,Bairnsdale,Victoria,147.5639295,-37.8428595,Open Cycle Gas Turbine
