state,suburb,population
New South Wales,Goulburn,23320
New South Wales,Goulburn Region,12862
New South Wales,Yass,6656
New South Wales,Yass Region,11913
New South Wales,Young,10802
New South Wales,Young Region,7450
New South Wales,Braidwood,3945
New South Wales,Karabar,8615
New South Wales,Queanbeyan,11235
New South Wales,Queanbeyan - East,5049
New South Wales,Queanbeyan Region,17435
New South Wales,Queanbeyan West - Jerrabomberra,13193
New South Wales,Bombala,2425
New South Wales,Cooma,6890
New South Wales,Cooma Region,3334
New South Wales,Jindabyne - Berridale,7091
New South Wales,Batemans Bay,7842
New South Wales,Batemans Bay - South,8570
New South Wales,Bega - Tathra,8607
New South Wales,Bega-Eden Hinterland,8961
New South Wales,Broulee - Tomakin,3317
New South Wales,Deua - Wadbilliga,27
New South Wales,Eden,3281
New South Wales,Eurobodalla Hinterland,3366
New South Wales,Merimbula - Tura Beach,10835
New South Wales,Moruya - Tuross Head,8096
New South Wales,Narooma - Bermagui,9171
New South Wales,Avoca Beach - Copacabana,7546
New South Wales,Box Head - MacMasters Beach,10956
New South Wales,Calga - Kulnura,4811
New South Wales,Erina - Green Point,14240
New South Wales,Gosford - Springfield,19284
New South Wales,Kariong,6559
New South Wales,Kincumber - Picketts Valley,7429
New South Wales,Narara,6829
New South Wales,Niagara Park - Lisarow,8202
New South Wales,Point Clare - Koolewong,6329
New South Wales,Saratoga - Davistown,7142
New South Wales,Terrigal - North Avoca,13909
New South Wales,Umina - Booker Bay - Patonga,24037
New South Wales,Wamberal - Forresters Beach,10146
New South Wales,Woy Woy - Blackwall,14181
New South Wales,Wyoming,11657
New South Wales,Bateau Bay - Killarney Vale,22412
New South Wales,Blue Haven - San Remo,11305
New South Wales,Budgewoi - Buff Point - Halekulani,9570
New South Wales,Chittaway Bay - Tumbi Umbi,15856
New South Wales,Gorokan - Kanwal - Charmhaven,22489
New South Wales,Jilliby - Yarramalong,3474
New South Wales,Lake Munmorah - Mannering Park,10984
New South Wales,Ourimbah - Fountaindale,4994
New South Wales,Summerland Point - Gwandalan,5844
New South Wales,The Entrance,15237
New South Wales,Toukley - Norah Head,9966
New South Wales,Tuggerah - Kangy Angy,5327
New South Wales,Warnervale - Wadalba,15573
New South Wales,Wyong,9021
New South Wales,Bathurst,24541
New South Wales,Bathurst - East,11472
New South Wales,Bathurst Region,7017
New South Wales,Oberon,4753
New South Wales,Condobolin,6803
New South Wales,Cowra,9300
New South Wales,Cowra Region,5542
New South Wales,Forbes,10394
New South Wales,Grenfell,3680
New South Wales,Parkes (NSW),11258
New South Wales,Parkes Region,3435
New South Wales,West Wyalong,6004
New South Wales,Lithgow,13095
New South Wales,Lithgow Region,8420
New South Wales,Mudgee,12010
New South Wales,Mudgee Region - East,3503
New South Wales,Mudgee Region - West,10544
New South Wales,Wollangambe - Wollemi,0
New South Wales,Blayney,7430
New South Wales,Orange,19457
New South Wales,Orange - North,20298
New South Wales,Orange Region,11806
New South Wales,Grafton,19075
New South Wales,Grafton Region,15446
New South Wales,Maclean - Yamba - Iluka,16440
New South Wales,Bellingen,5936
New South Wales,Coffs Harbour - North,17902
New South Wales,Coffs Harbour - South,10535
New South Wales,Coramba - Nana Glen - Bucca,3862
New South Wales,Dorrigo,3253
New South Wales,Korora - Emerald Beach,9010
New South Wales,Sawtell - Boambee,19947
New South Wales,Urunga,4758
New South Wales,Woolgoolga - Arrawarra,12740
New South Wales,Bourke - Brewarrina,4223
New South Wales,Cobar,4772
New South Wales,Coonamble,4278
New South Wales,Nyngan - Warren,5103
New South Wales,Walgett - Lightning Ridge,6683
New South Wales,Broken Hill,18027
New South Wales,Far West,2571
New South Wales,Coonabarabran,8075
New South Wales,Dubbo - East,10702
New South Wales,Dubbo - South,17380
New South Wales,Dubbo - West,9043
New South Wales,Dubbo Region,5728
New South Wales,Gilgandra,4452
New South Wales,Narromine,6694
New South Wales,Wellington,9064
New South Wales,Branxton - Greta - Pokolbin,10404
New South Wales,Cessnock,22426
New South Wales,Cessnock Region,8062
New South Wales,Dungog,9114
New South Wales,Kurri Kurri - Abermain,18057
New South Wales,Singleton,16521
New South Wales,Singleton Region,5037
New South Wales,Maitland,6812
New South Wales,Maitland - East,28091
New South Wales,Maitland - North,7793
New South Wales,Maitland - West,23179
New South Wales,Thornton - Millers Forest,10259
New South Wales,Anna Bay,5913
New South Wales,Lemon Tree Passage - Tanilba Bay,6882
New South Wales,Nelson Bay Peninsula,21447
New South Wales,Raymond Terrace,14107
New South Wales,Seaham - Woodville,5510
New South Wales,Tea Gardens - Hawks Nest,5161
New South Wales,Williamtown - Medowie - Karuah,14016
New South Wales,Muswellbrook,12403
New South Wales,Muswellbrook Region,4065
New South Wales,Scone,5964
New South Wales,Scone Region,8445
New South Wales,Berkeley - Warrawong - Windang,28875
New South Wales,Dapto - Avondale,24045
New South Wales,Horsley - Kembla Grange,8985
New South Wales,Port Kembla Industrial,11
New South Wales,Unanderra - Mount Kembla,16018
New South Wales,Illawarra Catchment Reserve,5
New South Wales,Albion Park - Macquarie Pass,14653
New South Wales,Albion Park Rail,7068
New South Wales,Kiama,7888
New South Wales,Kiama Downs - Minnamurra,6044
New South Wales,Kiama Hinterland - Gerringong,8027
New South Wales,Shellharbour - Flinders,17487
New South Wales,Shellharbour - Oak Flats,10311
New South Wales,Warilla,20992
New South Wales,Balgownie - Fairy Meadow,22018
New South Wales,Corrimal - Tarrawanna - Bellambi,15950
New South Wales,Figtree - Keiraville,21976
New South Wales,Helensburgh,9045
New South Wales,Thirroul - Austinmer - Coalcliff,11809
New South Wales,Wollongong,32223
New South Wales,Woonona - Bulli - Russell Vale,20271
New South Wales,Bulahdelah - Stroud,4790
New South Wales,Forster,14607
New South Wales,Forster-Tuncurry Region,6231
New South Wales,Tuncurry,6267
New South Wales,Kempsey,15058
New South Wales,Kempsey Region,9194
New South Wales,Macksville - Scotts Head,4883
New South Wales,Nambucca Heads,6837
New South Wales,Nambucca Heads Region,7798
New South Wales,South West Rocks,5235
New South Wales,Lord Howe Island,412
New South Wales,Laurieton - Bonny Hills,16934
New South Wales,Port Macquarie - East,28670
New South Wales,Port Macquarie - West,17577
New South Wales,Port Macquarie Region,5398
New South Wales,Wauchope,11350
New South Wales,Gloucester,5083
New South Wales,Old Bar - Manning Point - Red Head,10729
New South Wales,Taree,20881
New South Wales,Taree Region,12615
New South Wales,Wingham,5453
New South Wales,Albury - East,15413
New South Wales,Albury - North,10046
New South Wales,Albury - South,10536
New South Wales,Albury Region,11772
New South Wales,Lavington,14737
New South Wales,Hay,3003
New South Wales,Wentworth - Buronga,6082
New South Wales,Wentworth-Balranald Region,3652
New South Wales,Corowa,5508
New South Wales,Corowa Region,6841
New South Wales,Deniliquin,7515
New South Wales,Deniliquin Region,6847
New South Wales,Moama,5972
