longitude,latitude,suburb
151.028841,-33.885689,Lidcombe - Regents Park
151.024129,-33.866524,Auburn
145.009147,-37.638886,Epping
144.747709,-37.916855,Point Cook
150.9476006,-34.2802575,Thirroul - Austinmer - Coalcliff
144.9977212,-37.85316219,Prahran - Windsor
131.407918,-24.95752174,Petermann - Simpson
144.9899139,-37.74037572,Preston
150.1657422,-27.49342632,Tara
144.8352543,-37.67466803,Melbourne Airport
152.9853515,-27.48096156,Toowong
144.9999269,-37.80344106,Abbotsford
147.7303821,-37.88875949,Lake King
145.7262636,-16.95510716,Earlville - Bayview Heights
145.0090062,-37.59011303,Wollert
153.0499434,-27.70337446,Boronia Heights - Park Ridge
147.3059318,-42.83419521,Derwent Park - Lutana
143.6123654,-35.73235525,Gannawarra
115.6130288,-33.41127478,Dalyellup
151.1087562,-33.91544852,Canterbury (South) - Campsie
117.5273266,-31.7764478,Cunderdin
149.1301165,-35.21486268,Mitchell
153.0530929,-27.59345618,Sunnybank Hills
147.1985378,-42.83136175,Berriedale - Chigwell
150.8070712,-34.0255565,Claymore - Eagle Vale - Raby
150.5009251,-23.32352829,Parkhurst - Kawana
146.4642958,-41.28477639,Latrobe
152.4368478,-24.8473,Bargara - Burnett Heads
116.0465732,-31.91852074,Helena Valley - Koongamia
145.2469299,-37.91603348,Rowville - Central
152.8630748,-27.61129998,Collingwood Park - Redbank
145.0465426,-37.74271822,Heidelberg West
145.1799736,-37.96240875,Noble Park - East
151.8069043,-32.87115649,Stockton - Fullerton Cove
144.4189913,-38.17152961,Newcomb - Moolap
123.6271416,-21.63285758,East Pilbara
151.8829674,-32.7117405,Williamtown - Medowie - Karuah
144.3679608,-38.16264574,Geelong
147.2847662,-42.91858074,South Hobart - Fern Tree
150.8158857,-33.74102302,Bidwill - Hebersham - Emerton
149.1330232,-35.40527469,Macarthur
149.1436728,-35.19788461,Franklin
151.5014488,-33.2566605,Gorokan - Kanwal - Charmhaven
153.0949127,-30.32301103,Coffs Harbour - South
147.2106526,-43.03020741,Margate - Snug
150.8794576,-33.89345812,Bonnyrigg Heights - Bonnyrigg
149.1255094,-35.31666813,Forrest
152.7020899,-30.42936893,Bellingen
148.5714046,-36.47707021,Jindabyne - Berridale
147.5282681,-37.9686015,Paynesville
153.2387837,-27.491721,Wellington Point
135.295828,-33.2826427,Le Hunte - Elliston
152.7113349,-27.5357125,Ipswich - North
152.9667169,-27.06533849,Caboolture
115.6567918,-33.36595747,College Grove - Carey Park
150.1546076,-35.8446165,Broulee - Tomakin
151.0854248,-34.044291,Gymea - Grays Point
151.954185,-27.52673749,North Toowoomba - Harlaxton
133.2325402,-15.046191,Elsey
147.3792567,-42.87156778,Bellerive - Rosny
151.0474795,-33.81033364,Ermington - Rydalmere
151.1382404,-33.9919525,Sans Souci - Ramsgate
151.2260229,-33.8331502,Cremorne - Cammeray
144.9611882,-37.76450327,Brunswick
144.9406137,-37.74314,Pascoe Vale South
116.2822179,-31.9710615,Malmalling - Reservoir
151.4790735,-32.685698,Maitland - West
150.5497623,-34.202054,Picton - Tahmoor - Buxton
145.4280162,-37.50116396,Kinglake
115.8885117,-32.0520664,Willetton
116.1841969,-31.88693895,Mundaring
151.0792895,-33.76809205,Epping - North Epping
118.9769146,-32.871025,Kulin
115.7690182,-32.03742152,East Fremantle
130.9886135,-12.510666,Rosebery - Bellamack
146.897011,-36.03648335,Albury - North
116.0246891,-31.85036495,Middle Swan - Herne Hill
115.7766892,-32.0710396,Fremantle - South
153.0458246,-27.46520287,New Farm
150.2109959,-35.78071401,Batemans Bay - South
149.1698652,-35.32228696,Fyshwick
144.922719,-37.77979594,Ascot Vale
144.6877917,-37.87659629,Hoppers Crossing - South
153.1433977,-27.56825564,Rochedale - Burbank
149.3082658,-30.3361628,Narrabri Region
145.0188475,-37.87442349,Caulfield - North
115.8175293,-32.366095,Baldivis
145.0693464,-37.87877283,Malvern East
153.0166292,-27.5233545,Yeronga
149.0340249,-35.20031363,Charnwood
144.2565895,-36.7078938,California Gully - Eaglehawk
152.7491163,-27.644412,Churchill - Yamanto
151.137514,-34.05435346,Woolaware - Burraneer
153.3971891,-27.96546454,Southport
115.8501438,-32.15508539,Success - Hammond Park
151.2096937,-33.86945443,Sydney - Haymarket - The Rocks
150.5844944,-34.757853,Berry - Kangaroo Valley
145.2175588,-38.02178249,Dandenong
150.8557165,-33.74551349,Glendenning Dean Park
149.1085535,-35.49799108,Tuggeranong
115.7264204,-31.72804408,Iluka - Burns Beach
147.1512671,-41.402565,Mowbray
145.0321076,-41.155057,North West
152.2816706,-28.8382023,Tenterfield
153.1358733,-26.78614154,Moffat Beach - Battery Hill
151.0904867,-33.69811001,Hornsby - Waitara
152.7470026,-26.5986425,Maroochy Hinterland
150.9061789,-33.87767441,St Johns Park - Wakeley
152.1278005,-32.7323315,Nelson Bay Peninsula
139.2676163,-35.137158,Murray Bridge
147.0683371,-41.59474629,Longford
153.0784688,-26.725624,Sippy Downs
150.5426341,-23.41728351,Rockhampton City
145.1480781,-37.97140695,Springvale South
153.0911228,-27.3637645,Nudgee - Banyo
115.7789184,-32.08416805,Hamilton Hill
151.107677,-33.82679051,Ryde - Putney
145.2662735,-37.84797498,Bayswater
152.9376372,-28.511875,Kyogle
144.2390119,-36.80483871,Kangaroo Flat - Golden Square
150.8768544,-33.87836422,Edensor Park
152.970354,-27.2942735,Bray Park
148.020652,-34.60277939,Cootamundra
115.7563303,-32.00028462,Cottesloe
150.7971153,-23.2549775,Emu Park
115.833159,-31.96185764,Kings Park (WA)
150.9722664,-34.1791895,Helensburgh
147.2957272,-42.70055899,Brighton - Pontville
127.7913637,-19.12824673,Halls Creek
146.7861991,-19.29945125,Mundingburra
145.2534485,-38.06166822,Lynbrook - Lyndhurst
149.0993357,-35.27813557,Black Mountain
145.1737259,-37.6597975,Wattle Glen - Diamond Creek
145.1938632,-38.16409558,Langwarrin
144.9523339,-37.56840638,Craigieburn - North
146.387378,-36.06480431,Rutherglen
153.2073454,-27.498657,Birkdale
115.8116319,-31.90675121,Osborne Park Industrial
138.5929722,-34.88416511,Prospect
96.83023933,-12.17126273,Cocos (Keeling) Islands
149.1645349,-35.29678583,Duntroon
147.1259838,-41.451876,West Launceston
151.5809436,-33.13145997,Summerland Point - Gwandalan
151.6713625,-30.502111,Armidale
150.563822,-23.37191318,Lakes Creek
150.0658002,-36.3307695,Narooma - Bermagui
139.0370227,-33.71758994,Goyder
145.0996158,-37.97813746,Moorabbin Airport
118.5993465,-20.4075415,South Hedland
144.8644972,-37.80252165,West Footscray - Tottenham
151.1785083,-33.9487135,Sydney Airport
144.5193087,-37.35738203,Woodend
144.8793787,-37.72427416,Airport West
153.4483733,-27.56529593,Redland Islands
153.0215286,-26.64504346,Diddillibah - Rosemount
116.1992803,-30.53737363,Moora
138.5147056,-34.927381,Fulham
152.5567167,-26.23046899,Gympie Region
151.6391718,-32.87584282,Maryland - Fletcher - Minmi
151.5362401,-32.7600355,Maitland
130.9579561,-12.51451827,Palmerston - South
152.9196048,-27.41408902,Upper Kedron - Ferny Grove
144.8037414,-33.94449799,Hay
144.9954192,-37.84008837,South Yarra - East
145.1329713,-38.17604058,Frankston South
144.2881956,-38.17623641,Highton
148.9083258,-34.82273551,Yass
130.9212847,-12.36977024,Buffalo Creek
138.5676852,-34.89403433,Hindmarsh - Brompton
144.969279,-37.80007177,Carlton
145.168174,-37.03121224,Seymour
144.8883219,-37.86038759,Williamstown
144.9933104,-37.71076849,Reservoir - West
115.8112799,-32.2036015,Hope Valley - Postans
150.8681549,-32.0577065,Scone
133.8309878,-23.77855499,Ross
152.9854548,-27.4949955,Taringa
149.1133074,-35.35296684,O'Malley
151.0199379,-33.82016036,Parramatta - Rosehill
138.5437428,-34.82242799,Dry Creek - South
146.0437523,-34.27704499,Griffith (NSW)
151.9297834,-27.55907151,Newtown (Qld)
152.9870315,-26.78878641,Landsborough
150.7787196,-34.12393123,Rosemeadow - Glen Alpine
151.1439449,-33.93633434,Arncliffe - Bardwell Valley
153.1291352,-27.639401,Slacks Creek
145.0824008,-37.70499898,Watsonia
149.1135046,-35.30127038,Yarralumla
153.3920777,-28.07155473,Robina
150.2740183,-33.64716451,Blackheath - Megalong Valley
135.7816716,-34.70322201,Port Lincoln
143.9242606,-17.12984487,Tablelands
152.9848561,-27.54241952,Corinda
149.1421525,-35.28247949,Reid
153.1748674,-27.39403988,Brisbane Port - Lytton
145.0497171,-37.83310224,Hawthorn East
138.636716,-34.87247324,Windsor Gardens
153.033058,-27.511429,Annerley
117.0307537,-33.15669123,Wagin
138.538514,-34.69325111,Virginia - Waterloo Corner
153.0292906,-27.23245838,North Lakes - Mango Hill
151.2418498,-33.92041503,Randwick
145.5613922,-38.20632611,Koo Wee Rup
115.8485829,-32.02957913,Booragoon
152.9780655,-27.28052741,Lawnton
153.0805798,-27.53220249,Mount Gravatt
150.8969168,-33.95125172,Casula
153.0848995,-26.53618603,Coolum Beach
153.0624097,-27.52630848,Holland Park West
146.6448248,-36.13612052,Chiltern - Indigo Valley
144.9682849,-37.78504366,Carlton North - Princes Hill
151.0866778,-33.91314852,Belmore - Belfield
150.9835191,-33.83213306,Merrylands - Holroyd
149.036043,-35.24786757,Hawker
146.6296066,-19.3202595,Bohle Plains
144.2885092,-36.79024818,Flora Hill - Spring Gully
142.2180167,-36.7275842,Horsham
150.6789671,-33.78438049,Glenmore Park - Regentville
115.9345432,-32.13856024,Forrestdale - Harrisdale - Piara Waters
138.4655,-35.29634118,Aldinga
151.1315309,-33.85944747,Five Dock - Abbotsford
145.7635314,-16.91058141,Cairns City
136.790453,-32.52920054,Quorn - Lake Gilles
115.6371746,-33.33499789,South Bunbury - Bunbury
150.6892775,-35.00761401,Callala Bay - Currarong
116.7684469,-32.02632903,York - Beverley
139.740688,-34.1840045,Waikerie
145.9392641,-41.07538651,Burnie - Wivenhoe
151.0412722,-33.79437765,Oatlands - Dundas Valley
145.0881617,-37.38722525,Wallan
153.4905206,-28.24784099,Terranora - North Tumblegum
150.891746,-33.77928369,Blacktown (West)
145.0106306,-37.63055011,Epping - West
149.101144,-35.45794371,Conder
150.7151676,-34.38956354,Illawarra Catchment Reserve
115.9113591,-31.88916253,Morley
153.4270392,-27.95653957,Main Beach
149.0673199,-35.23721332,Belconnen
150.9013862,-33.83938,Wetherill Park Industrial
144.124553,-36.8094075,Bendigo Region - South
147.5631385,-37.31667047,Bruthen - Omeo
150.9999615,-33.71936353,Castle Hill
144.7788072,-37.84075739,Laverton
151.0704448,-33.97028787,Mortdale - Penshurst
145.3814497,-37.22858794,Yea
149.2126392,-21.08278627,Slade Point
145.761844,-16.94283114,Westcourt - Bungalow
151.2807715,-33.77039093,Freshwater - Brookvale
153.0356158,-27.73845602,Munruben - Park Ridge South
117.1497129,-32.4839815,Brookton
153.0321474,-28.84347917,Casino
146.4055233,-34.52834555,Leeton
153.01746,-27.36604004,Aspley
151.1517242,-32.581987,Singleton
145.7366393,-16.91682751,Manoora
150.9734272,-33.7188406,Castle Hill - West
144.896712,-37.80098875,Footscray
145.4031589,-36.34115387,Shepparton - North
